ID	Title
395	Off the Charts: The Song-Poem Story
396	Aragami
397	Flight
398	Screwed
399	Vampyros Lesbos
400	Saawariya
401	Thursday
402	The Fast and the Furious: Tokyo Drift
403	The Five-Year Engagement
404	Kevin Smith: Burn in Hell
405	Laura
406	Dangerous Minds
407	The Many Adventures of Winnie the Pooh
408	Interview with the Assassin
409	Szpieg w masce
410	Céline et Julie vont en bateau: Phantom Ladies Over Paris
411	Run
412	Highway
413	Stephanie Daley
414	Vinyan
415	The Three Burials of Melquiades Estrada
416	976-EVIL
417	Chacun son cinéma ou Ce petit coup au coeur quand la lumière s'éteint et que le film commence
418	Snow Buddies
419	Wizards of Waverly Place: The Movie
420	Nursery University
421	I Wanna Hold Your Hand
422	Fitzwilly
423	Single White Female
424	Jim Carrey: Unnatural Act
425	Airplane!
426	Futureworld
427	The Wicker Tree
428	Read My Lips
429	The Proposal
430	White Banners
431	Hauru no ugoku shiro
432	Naughty Marietta
433	Toothless
434	Krampus
435	Night Court
436	Chi to hone
437	Skyscraper Souls
438	New York Minute
439	Patterns
440	Ghost Rider
441	Dead & Buried
442	East Meets West
443	Invasion U.S.A.
444	Spooner
445	Bijitâ Q
446	Kinamand
447	Capitães de Abril
448	Viva la muerte
449	Tokyo!
450	Dressed to Kill
451	Surviving Progress
452	Il principe del deserto
453	What Goes Up
454	"Grandview, U.S.A."
455	Diana Vreeland: The Eye Has to Travel
456	Stolen
457	Happily Ever After
458	Sniper: Ultimate Kill
459	Funny Face
460	When the Levees Broke: A Requiem in Four Acts
461	The Son of the Sheik
462	Get Bruce
463	Penelope
464	Paintball
465	Andy Hardy's Blonde Trouble
466	To Grandmother's House We Go
467	Gregory Crewdson: Brief Encounters
468	Peter Ibbetson
469	Saints and Soldiers
470	The World's End
471	I'm the One That I Want
472	David Cross: The Pride Is Back
473	Period of Adjustment
474	Puppet Master: The Legacy
475	La montaña rusa
476	Civic Duty
477	Dream Land
478	How to Marry a Millionaire
479	Hotaru no haka
480	Babam ve Oglum
481	Border Incident
