tconst	 titleType	 primaryTitle	 isAdult	 startYear	 endYear	 runtimeMinutes	 genres	 region	 language	IMDB rating
tt0023245	movie	The Mummy	0	1932	\N	73	"Fantasy,Horror"	ES	\N	7.1
tt0050188	movie	Mother India	0	1957	\N	172	"Drama,Family,Musical"	BR	\N	8.1
tt0466214	video	Faces of Schlock	0	2005	\N	110	"Comedy,Horror"	\N	\N	4.2
tt0083526	movie	The Aftermath	0	1982	\N	95	"Sci-Fi,Thriller"	GB	\N	4.2
tt0036419	movie	Tennessee Johnson	0	1942	\N	103	"Biography,Drama"	GB	\N	6.7
tt1212448	video	Tripping the Rift: The Movie	0	2008	\N	75	"Animation,Comedy,Sci-Fi"	FR	\N	5.4
tt0071807	movie	The Man with the Golden Gun	0	1974	\N	125	"Action,Adventure,Thriller"	BR	\N	6.8
tt11038208	tvEpisode	Into the Mind	0	2018	\N	\N	"Comedy,Drama,Sci-Fi"	\N	\N	\N
tt0075202	movie	Shao Lin si	0	1976	\N	126	Action	HK	yue	6.9
tt0181368	movie	Cheap Thrills	1	1984	\N	\N	Adult	US	\N	\N
tt0927619	tvSpecial	Louis C.K.: Shameless	0	2007	\N	56	"Comedy,Documentary"	US	\N	8.6
tt0047445	movie	Sanshô dayû	0	1954	\N	124	Drama	UY	\N	8.4
tt0002065	short	Black Sheep	0	1912	\N	17	"Drama,Short"	US	\N	6.1
tt0138703	movie	Phantasm IV: Oblivion	0	1998	\N	90	"Fantasy,Horror,Sci-Fi"	RU	\N	5.7
tt0043618	movie	Happy Go Lovely	0	1951	\N	97	"Comedy,Musical,Romance"	NO	\N	6.5
tt0479884	movie	Crank	0	2006	\N	88	"Action,Crime,Thriller"	LT	\N	6.9
tt0054198	movie	Pote tin Kyriaki	0	1960	\N	91	"Comedy,Drama,Romance"	XWG	\N	7.3
tt0225615	short	The Encounter	0	1999	\N	12	Short	US	\N	8.1
tt0015897	movie	Havoc	0	1925	\N	90	Drama	ES	\N	\N
tt0078163	movie	Revenge of the Pink Panther	0	1978	\N	99	"Comedy,Crime,Mystery"	HU	\N	6.7
tt0069371	movie	They Only Kill Their Masters	0	1972	\N	97	"Mystery,Romance,Thriller"	BR	\N	6.3
tt0841046	movie	Walk Hard: The Dewey Cox Story	0	2007	\N	96	"Comedy,Music"	IT	\N	6.8
tt0109891	movie	Getting Even with Dad	0	1994	\N	109	"Comedy,Crime,Family"	PL	\N	4.8
tt0108167	movie	Smoking/No Smoking	0	1993	\N	298	"Comedy,Drama"	PT	\N	7.4
tt0066250	movie	Prom	0	1970	\N	65	"Action,Thriller"	HU	\N	4.8
tt0073454	tvMovie	The Night That Panicked America	0	1975	\N	92	Drama	DE	\N	7
tt0066580	movie	Woodstock	0	1970	\N	184	"Documentary,History,Music"	CO	\N	8.2
tt0284946	video	Casper's Haunted Christmas	0	2000	\N	84	"Animation,Comedy,Family"	UA	\N	4.6
tt0008974	movie	Confession	0	1918	\N	\N	Drama	\N	\N	\N
tt0019044	movie	Just Married	0	1928	\N	60	Comedy	DE	\N	\N
tt0053671	movie	Boulevard	0	1960	\N	95	"Comedy,Drama"	FR	\N	6.7
tt0526689	tvEpisode	Date and Switch	0	2004	\N	29	"Drama,Romance"	US	\N	5.5
tt0015361	movie	Stachka	0	1925	\N	82	Drama	HU	\N	7.6
tt0414713	movie	Amu	0	2005	\N	102	Drama	IN	\N	7.4
tt0029516	movie	Saratoga	0	1937	\N	92	"Comedy,Drama,Romance"	SI	\N	6.5
tt0055689	tvSeries	McHale's Navy	0	1962	1966	30	"Comedy,War"	\N	\N	7.4
tt0443091	tvMovie	Landet som icke är	0	1977	\N	150	Drama	\N	\N	8.3
tt0118147	movie	When We Were Kings	0	1996	\N	88	"Documentary,Sport"	ES	qbp	8
tt0328955	movie	Chouchou	0	2003	\N	105	Comedy	HU	\N	4.6
tt0082351	movie	Eye of the Needle	0	1981	\N	112	"Romance,Thriller,War"	AR	\N	7.1
tt0080157	movie	Yanks	0	1979	\N	138	"Drama,War"	GR	\N	6.4
tt0051051	movie	Tammy and the Bachelor	0	1957	\N	89	"Comedy,Romance"	FI	\N	7
tt0218505	tvMovie	Path to War	0	2002	\N	165	"Biography,Drama,War"	\N	\N	7.3
tt0097289	movie	Erik the Viking	0	1989	\N	107	"Adventure,Comedy,Fantasy"	BR	\N	6.3
tt0080850	movie	He Knows You're Alone	0	1980	\N	94	"Horror,Thriller"	AR	\N	5
tt0219405	movie	Waydowntown	0	2000	\N	87	Comedy	BR	\N	6.7
tt4209244	short	Confessor Caressor	0	1989	\N	20	Short	AU	\N	5.3
tt0026564	movie	La kermesse héroïque	0	1935	\N	110	"Comedy,History,Romance"	\N	\N	7.5
tt0441674	movie	Operetta tanuki goten	0	2005	\N	111	"Comedy,Fantasy,Musical"	HK	en	6.5
tt0009758	movie	Vengeance	0	1918	\N	60	Drama	\N	\N	\N
tt0105391	movie	Shining Through	0	1992	\N	132	"Drama,Romance,Thriller"	AR	\N	6.4
tt0395479	short	Boundin'	0	2003	\N	5	"Animation,Comedy,Family"	HU	\N	7
tt0148462	movie	Men Cry Bullets	0	1998	\N	105	"Comedy,Drama"	US	\N	5.3
tt0109936	movie	Greedy	0	1994	\N	113	Comedy	GR	\N	6.3
tt0053716	movie	Cinderfella	0	1960	\N	91	"Comedy,Family,Fantasy"	ES	\N	6
tt0087188	movie	E la nave va	0	1983	\N	132	"Drama,History,Music"	US	\N	7.6
tt2693664	movie	Young Ones	0	2014	\N	100	"Action,Drama,Romance"	FR	\N	5.9
tt0111252	movie	Spanking the Monkey	0	1994	\N	100	"Comedy,Drama"	US	\N	6.2
tt0063291	movie	Memorias del subdesarrollo	0	1968	\N	97	Drama	NO	\N	7.7
tt2317089	movie	Small Roads	0	2011	\N	103	Documentary	PL	\N	7.1
tt0418110	movie	Romanzo criminale	0	2005	\N	152	"Crime,Drama"	DK	\N	7.2
tt0074455	movie	Eaten Alive	0	1976	\N	91	"Horror,Thriller"	ES	\N	5.5
tt0070902	movie	Wattstax	0	1973	\N	103	"Comedy,Documentary,Music"	US	\N	7.7
tt1907731	movie	Nobody Walks	0	2012	\N	83	Drama	BR	\N	5.3
tt1492820	tvMovie	Elevator Girl	0	2010	\N	88	"Comedy,Family,Romance"	RO	\N	6.3
tt0176460	video	Ass Backwards	1	1991	\N	80	"Adult,Comedy"	US	\N	6.9
tt1702443	movie	Justin Bieber: Never Say Never	0	2011	\N	105	"Documentary,Music"	ES	\N	1.6
tt0085959	movie	The Meaning of Life	0	1983	\N	107	"Comedy,Musical"	GB	\N	7.6
tt0057447	movie	Rampage	0	1963	\N	98	"Adventure,Romance"	FI	\N	5.6
tt0047472	movie	Seven Brides for Seven Brothers	0	1954	\N	102	"Comedy,Drama,Musical"	SE	\N	7.4
tt0098022	movie	Old Gringo	0	1989	\N	119	"Adventure,History,Romance"	AT	\N	5.8
tt0279778	movie	Divine Secrets of the Ya-Ya Sisterhood	0	2002	\N	116	Drama	FI	\N	6.1
tt0096280	movie	To Kill a Priest	0	1988	\N	117	"Drama,History,Thriller"	PT	\N	6.1
tt0250113	tvMovie	What If	0	1992	\N	\N	\N	US	\N	9.5
tt2165735	movie	Du zhan	0	2012	\N	107	"Action,Crime,Drama"	RS	\N	7
tt10566818	tvEpisode	Spider-Man: Far from Home	0	2019	\N	\N	"Action,Adventure,Comedy"	\N	\N	\N
tt2621742	movie	Crimes Against Humanity	0	2014	\N	77	Comedy	US	\N	6.4
tt0437232	movie	Catch a Fire	0	2006	\N	101	"Biography,Drama,History"	BR	\N	6.7
tt0761580	tvEpisode	Nightcrawler	0	1995	\N	22	"Action,Animation,Family"	\N	\N	8.1
tt0104666	tvMiniSeries	Lady Chatterley	0	1993	1993	205	"Drama,Romance"	GB	\N	6.9
tt0119057	movie	Elles	0	1997	\N	115	"Comedy,Drama,Romance"	\N	\N	6.3
tt0104897	movie	Mo' Money	0	1992	\N	89	"Action,Comedy,Crime"	DE	\N	5.5
tt0104812	movie	Map of the Human Heart	0	1992	\N	109	"Adventure,Drama,Romance"	PL	\N	7.1
tt0683225	tvEpisode	The Martian	0	1992	\N	22	"Drama,Fantasy,Horror"	\N	\N	5.7
tt0865538	tvSpecial	Wanda Sykes: Sick and Tired	0	2006	\N	70	"Comedy,Documentary"	US	\N	7.4
